"","State","Year","Income","Cause.Name","Deaths","Suicides"
"187","North Carolina",2000,"38,317","Suicide",971,971
"188","North Dakota",2000,"35,996","Suicide",68,68
"189","Ohio",2000,"42,962","Suicide",1088,1088
"190","Oklahoma",2000,"32,432","Suicide",497,497
"191","Oregon",2000,"42,499","Suicide",493,493
"192","Pennsylvania",2000,"42,176","Suicide",1356,1356
"193","Rhode Island",2000,"42,197","Suicide",75,75
"194","South Carolina",2000,"37,570","Suicide",443,443
"195","South Dakota",2000,"36,475","Suicide",95,95
"196","Tennessee",2000,"34,096","Suicide",730,730
"197","Texas",2000,"38,609","Suicide",2053,2053
"198","Utah",2000,"47,550","Suicide",298,298
"199","Vermont",2000,"39,594","Suicide",77,77
"200","Virginia",2000,"47,163","Suicide",768,768
"201","Washington",2000,"42,525","Suicide",727,727
"202","West Virginia",2000,"29,411","Suicide",245,245
"203","Wisconsin",2000,"45,088","Suicide",590,590
"204","Wyoming",2000,"39,629","Suicide",83,83
